,Log_Return
0,0.7019583296933837
1,0.3456224638676857
2,-1.2899705892880866
3,-0.5821812680544672
4,-0.5788115263083679
5,-1.078064343831159
6,-0.3058956779045373
7,-2.5900728432157125
8,-1.2903404835907841
9,-1.0494948537093634
10,-0.34300825187122
11,-0.2499179202806383
12,0.34215061671958175
13,0.7011074423149459
14,1.72729741323065
15,0.0
16,-0.7132793850406701
17,0.013411117836769024
18,0.4570514744884192
19,-2.3173230311633595
20,1.1652674225776987
21,0.11994404050101472
22,0.884013257609581
23,-0.79062388386857
24,-0.3331337613489776
25,0.05322688083081651
26,-1.9507670147660336
27,-1.798121016086214
28,0.8626848068647598
29,-0.36143062451034186
30,-0.05152647286486524
31,-0.8719121784451078
32,-1.6836906374351046
33,-4.588073161120289
34,-0.6334808730035091
35,-2.6222914753396958
36,-0.27816429618768024
37,-3.53626750728376
38,0.2684865691576929
39,1.7629567227980425
40,0.8242748443840912
41,1.8798418497234324
42,-1.5459132764281187
43,-0.2419216662872546
44,-0.4477362396187783
45,0.2638070005032198
46,1.6559929119042125
47,-1.3454157944822482
48,-0.011520073741210375
49,0.8793299746168175
50,2.078393372156025
51,-0.47348573306760955
52,-1.987672126589064
53,-0.9562835706339156
54,-0.4233658134358038
55,-1.4171769408357289
56,-2.578207034306241
57,-1.5998599927933839
58,-3.5843090415230288
59,2.2650428435318326
60,-4.367779562739399
61,-0.43763745997988884
62,-1.0003620026881817
63,-4.38658190757516
64,-0.13462834998133294
65,2.5894564705074554
66,-2.5221649515058604
67,-1.9238688612864878
68,-3.5764419427783314
69,-0.24544351215459007
70,0.09083477779616314
71,6.01135746697316
72,-0.7403524033564828
73,-1.0671849733793684
74,-3.6570718720239572
75,-3.9856616412019457
76,4.38851880571161
77,-0.521573218815819
78,0.32909802076649547
79,0.8921650347104491
80,-0.34125004294120576
81,0.6651294728695899
82,-2.417478775961525
83,-0.7391416380512636
84,1.0744539282977164
85,0.8478103564947657
86,-0.7569920776161011
87,0.2091955831358161
88,0.9790096035984529
89,-0.22960013759972114
90,0.05505597496383135
91,1.6846011116162123
92,0.1494628956427404
93,-0.6522572509586171
94,1.1959406299350952
95,2.5995274766714265
96,-1.0364776089781171
97,0.4305608718220024
98,-0.028761804522130296
99,-1.3141794697849156
100,0.4171412950559049
101,0.17115151082936986
102,0.5343524164927422
103,-0.372439909098244
104,0.009532434114275994
105,0.4777839953713076
106,0.01915892332711566
107,-0.028737008675174404
108,-2.571759397244784
109,-2.0785007644159874
110,-4.76663189326835
111,0.7349114441473331
112,1.3882357434892165
113,-0.32890380332270713
114,0.3378081263774436
115,0.6790590782989823
116,0.5754376605086207
117,-2.2116114539836254
118,-0.4887489905390581
119,1.0619178396233124
120,0.5996726009099426
121,-1.2495451350907507
122,0.277999817199969
123,-0.47609901078787037
124,-1.0934615628016742
125,-0.2415690993218113
126,-0.6919245733681179
127,-1.624383840310823
128,-2.545348399019638
129,-1.3059197542898757
130,0.7453247164957638
131,-1.452731008375696
132,0.08105698749711832
133,-0.47728926104518765
134,-1.6329507170217652
135,-0.877441303976796
136,-0.713644561111735
137,-0.032814807585596635
138,0.5428261367886424
139,-1.5625135245220818
140,-1.8843335241986274
141,-1.1723039182705406
142,-1.9730862526944684
143,-0.3743123636449809
144,0.6489639756372023
145,-2.789187642593613
146,1.0306917533543014
147,-0.7096503563394296
148,0.9156176774597626
149,0.5912437675055815
150,-2.0399281925298998
151,-2.8150205510081405
152,-1.5668567846180512
153,0.8666757599338847
154,-1.6715694671698953
155,-4.607090934575584
156,-2.143801133329062
157,8.844756536442608
158,-3.2683740477477885
159,5.283066613177473
160,0.028318784747018013
161,-2.3028300390668304
162,-1.4835538819860332
163,-0.435377799137019
164,-6.189237355081624
165,-3.4405279731024905
166,0.692853419047475
167,2.1332000746976365
168,-0.03170255422327477
169,0.03170255422326443
170,-0.03170255422327477
171,0.03170255422326443
172,0.0
173,-0.006341314937185287
174,-0.012681423633605101
175,0.01268142363360099
176,0.0
177,0.0
178,0.006341314937180039
179,0.0
180,-0.057057363215536096
181,0.03803462464474198
182,-0.012679815652471386
183,0.025361239286083175
184,0.0
185,-0.02536123928608378
186,0.0
187,0.025361239286083175
188,-11.562402337835232
189,-8.709563363542253
190,-2.30823570616631
191,0.015179420782458822
192,0.0
193,-0.005060062948267195
194,0.005060062948272926
195,-0.005060062948267195
196,0.0
197,0.005060062948272926
198,0.0
199,-0.04553135165118068
200,0.045531351651186325
201,0.0
202,-0.005060062948267195
203,-0.015178652771927715
204,-0.01011782204626258
205,0.03035653776644138
206,-0.030356537766444744
207,0.025296474818173105
208,0.0
209,0.0
210,0.005060062948272926
211,0.0
212,0.0
213,0.0
214,-0.020238715720187813
215,0.020238715720183622
216,-0.005060062948267195
217,-0.04047128870291825
218,0.01011628672442387
219,0.02023564414430605
220,0.01011935783419664
221,0.005060062948272926
222,-0.005060062948267195
223,0.005060062948272926
224,0.0
225,-0.005060062948267195
226,0.0
227,-0.02023769175796312
228,0.0
229,0.020237691757953598
230,-0.02023769175796312
231,0.020237691757953598
232,-0.025296474818186063
233,0.025296474818173105
234,-0.025296474818186063
235,-0.005058527160310157
236,0.01011731022054528
237,0.020237691757953598
238,0.005060062948272926
239,-0.005060062948267195
240,0.0
241,-0.035413273264780235
242,0.04047333621303466
243,0.0
244,-0.040473336213038356
245,0.005058271286283243
246,0.01011731022054528
247,0.0
248,-0.020233596944961504
249,0.045531351651186325
250,-0.020238715720187813
251,0.020238715720183622
252,-0.005060062948267195
253,-0.04047128870291825
254,0.025292635931005166
